serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,date
134,central_heating,FALSE,TRUE,13,5.1,999,1947,106677631,gas,FALSE,TRUE,865,76,mint_condition,sophisticated,negotiable,TRUE,apartment,86153,3,1,3,FALSE,3,Innenstadt,18-Sep
160,central_heating,FALSE,FALSE,5,3.85,940,1985,110752805,gas,FALSE,TRUE,735,66.9,well_kept,normal,negotiable,FALSE,roof_storey,86179,3,4,3,FALSE,3,Haunstetten,20-Feb
88,floor_heating,FALSE,TRUE,12,5.62,557,1986,95478864,gas,FALSE,TRUE,469,41,well_kept,sophisticated,no,TRUE,ground_floor,86163,1,0,1,FALSE,2,Hochzoll,19-May
80,self_contained_central_heating,FALSE,FALSE,7,4.3,500,1950,81334819,natural_gas_light,TRUE,TRUE,500,50,fully_renovated,sophisticated,no,FALSE,roof_storey,86165,2,3,2,FALSE,2,Lechhausen,19-Oct
95,gas_heating,FALSE,TRUE,1,3.83,675,1955,115247881,gas,FALSE,TRUE,515,49,negotiable,normal,no,FALSE,apartment,86150,2,3,2,FALSE,2,Innenstadt,20-Feb
120,central_heating,TRUE,TRUE,18,4.09,1018.04,2019,113207876,combined_heat_and_power_regenerative_energy,FALSE,TRUE,810.04,92.05,first_time_use,sophisticated,negotiable,TRUE,apartment,86154,4,3,4,FALSE,4,Oberhausen,19-Oct
60,central_heating,FALSE,FALSE,34,5.38,1110,1920,105930423,gas,FALSE,TRUE,1050,71.35,first_time_use_after_refurbishment,luxury,negotiable,FALSE,ground_floor,86157,3,0,3,TRUE,3,Pfersee,18-Sep
200,central_heating,FALSE,TRUE,9,7.06,1050,1968,87697466,oil,FALSE,TRUE,815,80,fully_renovated,normal,no,FALSE,apartment,86163,3.5,1,3,FALSE,3,Hochzoll,19-Oct
100,district_heating,FALSE,TRUE,5,5.02,620,1972,113745492,district_heating,TRUE,TRUE,520,40,mint_condition,sophisticated,no,TRUE,other,86161,1,11,1,FALSE,1,Herrenbach,19-Oct
350,gas_heating,FALSE,TRUE,23,5.1,2300,1959,106491446,gas,TRUE,TRUE,1950,204,fully_renovated,sophisticated,negotiable,FALSE,penthouse,86150,8,2,5,TRUE,7,Innenstadt,18-Sep
270,floor_heating,TRUE,TRUE,32,3.62,2400,2019,113855356,district_heating,FALSE,TRUE,2130,158,first_time_use,luxury,yes,TRUE,penthouse,86152,4,3,4,FALSE,7,Innenstadt,20-Feb
100,floor_heating,TRUE,TRUE,12,5.35,1670,2018,110256373,gas,FALSE,TRUE,1400,110.92,first_time_use,sophisticated,no,FALSE,apartment,86152,4,1,4,FALSE,5,Innenstadt,19-May
180,gas_heating,FALSE,TRUE,16,5.75,1110,2014,107042025,gas,FALSE,TRUE,930,82.09,mint_condition,sophisticated,no,TRUE,maisonette,86179,3.5,2,3,FALSE,4,Haunstetten,18-Sep
235,central_heating,FALSE,TRUE,10,5.9,1547,1883,106535143,district_heating,FALSE,TRUE,1312,93.7,first_time_use,luxury,negotiable,TRUE,apartment,86159,3,4,3,TRUE,4,Hochfeld,19-May
175,floor_heating,TRUE,TRUE,10,5.91,1900,2019,111391541,district_heating,FALSE,TRUE,1550,130,first_time_use,sophisticated,negotiable,TRUE,penthouse,86161,4,4,4,FALSE,6,Herrenbach,19-May
150,central_heating,FALSE,FALSE,1,5.51,750,1962,111392787,natural_gas_light,TRUE,FALSE,600,50,mint_condition,normal,no,TRUE,apartment,86154,2,5,2,FALSE,2,Oberhausen,19-May
135,central_heating,FALSE,FALSE,5,4.86,580,1958,111273989,gas,TRUE,FALSE,445,32,well_kept,normal,no,FALSE,other,86159,1.5,2,1,FALSE,1,Antonsviertel,19-May
260,central_heating,FALSE,TRUE,29,5.62,1580,1969,111375348,gas,TRUE,TRUE,1320,120,refurbished,sophisticated,negotiable,TRUE,apartment,86163,3,7,3,FALSE,5,Hochzoll,19-May
250,central_heating,FALSE,TRUE,13,5.31,1185,1977,110035261,district_heating,FALSE,TRUE,935,85,well_kept,normal,negotiable,TRUE,apartment,86152,3,2,3,FALSE,4,Innenstadt,19-May
30,central_heating,FALSE,FALSE,4,5.95,380,2000,73431807,gas,TRUE,FALSE,320,24,well_kept,normal,no,FALSE,apartment,86199,1,1,1,TRUE,1,Göggingen,19-May
170,floor_heating,FALSE,TRUE,9,4.39,1230,2015,115700447,district_heating,TRUE,TRUE,1060,90,mint_condition,sophisticated,no,TRUE,ground_floor,86156,3,0,3,TRUE,4,Kriegshaber,20-Feb
91,central_heating,FALSE,TRUE,8,4.16,891,1972,113696739,oil,TRUE,TRUE,739,50.96,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,apartment,86179,2,2,2,FALSE,2,Haunstetten,19-Oct
180,central_heating,FALSE,TRUE,0,5.43,980,1988,107299279,gas,TRUE,TRUE,800,75,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,86199,2,3,2,FALSE,3,Göggingen,18-Sep
115,central_heating,FALSE,FALSE,4,5.1,665,1952,107065612,gas,TRUE,FALSE,550,46,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,roof_storey,86153,2,3,2,FALSE,2,Innenstadt,18-Sep
116,central_heating,FALSE,FALSE,14,5.39,626,1959,110725865,gas,TRUE,TRUE,510,53,well_kept,normal,no,FALSE,raised_ground_floor,86199,2,0,2,FALSE,2,Göggingen,19-May
160,gas_heating,FALSE,TRUE,11,6.74,710,1993,107323747,natural_gas_light,FALSE,TRUE,550,55,modernized,sophisticated,no,FALSE,roof_storey,86154,2,3,2,FALSE,2,Oberhausen,18-Sep
90,floor_heating,TRUE,TRUE,16,5.8,690,2019,110442800,gas,TRUE,TRUE,550,31.77,first_time_use,luxury,no,TRUE,apartment,86167,1,2,1,FALSE,1,Lechhausen,19-May
228,central_heating,TRUE,TRUE,7,4.65,1457,2020,106534528,district_heating,FALSE,TRUE,1229,91,first_time_use,luxury,negotiable,TRUE,apartment,86159,2,2,2,TRUE,4,Hochfeld,20-Feb
450,floor_heating,FALSE,TRUE,24,4.16,2250,1981,113687513,gas,TRUE,TRUE,1800,160,first_time_use_after_refurbishment,luxury,negotiable,FALSE,terraced_flat,86199,4,1,4,TRUE,7,Göggingen,19-Oct
110,night_storage_heater,FALSE,TRUE,20,4.71,1150,1985,113844654,electricity,FALSE,TRUE,900,86,well_kept,normal,negotiable,FALSE,other,86156,3,1,3,FALSE,4,Kriegshaber,19-Oct
150,district_heating,FALSE,FALSE,9,3.83,800,1989,113663916,district_heating,TRUE,TRUE,650,60,fully_renovated,normal,yes,FALSE,maisonette,86159,2,3,2,FALSE,2,Universitätsviertel,19-Oct
250,floor_heating,FALSE,TRUE,23,3.98,1310,1995,105031041,district_heating,TRUE,TRUE,1000,100,well_kept,sophisticated,negotiable,TRUE,apartment,86153,4,3,4,FALSE,4,Innenstadt,19-Oct
250,floor_heating,FALSE,FALSE,6,3.62,1025,1994,85815201,district_heating,TRUE,TRUE,775,75,well_kept,sophisticated,yes,TRUE,apartment,86150,2,2,2,FALSE,3,Innenstadt,20-Feb
120,central_heating,FALSE,FALSE,7,7.87,440,2015,86027030,pellet_heating,TRUE,FALSE,320,17,mint_condition,sophisticated,no,TRUE,apartment,86159,1,1,1,FALSE,1,Hochfeld,19-May
450,central_heating,FALSE,TRUE,21,3.98,1449,1964,112361124,gas,TRUE,FALSE,999,70,well_kept,sophisticated,negotiable,TRUE,apartment,86159,3,2,3,FALSE,3,Innenstadt,19-Oct
150,central_heating,FALSE,FALSE,11,3.62,1435,1958,115382081,gas,TRUE,FALSE,1135,126,mint_condition,sophisticated,no,FALSE,apartment,86150,3,1,3,FALSE,6,Innenstadt,20-Feb
112,central_heating,FALSE,TRUE,2,3.98,719,1977,113863555,gas,FALSE,TRUE,551,60.57,fully_renovated,normal,negotiable,TRUE,apartment,86153,2,5,2,FALSE,2,Innenstadt,19-Oct
95,floor_heating,FALSE,FALSE,9,5.1,620,2013,104100446,district_heating,TRUE,TRUE,525,29.18,mint_condition,sophisticated,no,TRUE,apartment,86161,1,2,1,FALSE,1,Hochfeld,19-Oct
60,central_heating,FALSE,FALSE,5,5.31,650,1943,50015441,gas,TRUE,FALSE,530,46.02,modernized,normal,no,FALSE,maisonette,86153,2,4,2,FALSE,2,Innenstadt,19-May
100,district_heating,FALSE,TRUE,17,3.98,470,2017,113481079,district_heating,TRUE,FALSE,370,21,mint_condition,sophisticated,no,TRUE,apartment,86153,1,3,1,TRUE,1,Innenstadt,19-Oct
99,district_heating,TRUE,TRUE,16,4.56,985,2019,110619868,district_heating,TRUE,TRUE,818,61.96,first_time_use,sophisticated,negotiable,TRUE,apartment,86161,2,1,2,FALSE,3,Herrenbach,20-Feb
313,central_heating,FALSE,TRUE,7,4.65,1938,1887,110516092,local_heating,FALSE,TRUE,1625,125,first_time_use,luxury,negotiable,TRUE,apartment,86159,4,2,4,TRUE,6,Hochfeld,20-Feb
55,central_heating,FALSE,TRUE,2,5.38,560,1993,107316292,gas,TRUE,FALSE,465,36.6,well_kept,normal,no,FALSE,apartment,86159,1,2,1,FALSE,1,Antonsviertel,18-Sep
210.48,district_heating,TRUE,FALSE,8,3.79,1192.72,2019,114286990,district_heating,FALSE,TRUE,982.24,70.16,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,86150,2,1,2,FALSE,3,Innenstadt,20-Feb
270,floor_heating,FALSE,TRUE,24,6.59,1470,2015,95446403,district_heating,TRUE,TRUE,1200,101.08,mint_condition,sophisticated,no,TRUE,apartment,86153,3,2,3,FALSE,5,Innenstadt,19-Oct
495,district_heating,FALSE,TRUE,11,7.45,2370,1910,82995977,district_heating,TRUE,TRUE,1875,220,fully_renovated,sophisticated,negotiable,TRUE,apartment,86150,5.5,3,5,FALSE,7,Innenstadt,19-Oct
320,central_heating,FALSE,TRUE,10,4.98,1720,1986,109986686,district_heating,TRUE,TRUE,1400,140,fully_renovated,sophisticated,negotiable,TRUE,roof_storey,86159,4,5,4,FALSE,6,Universitätsviertel,19-May
160,district_heating,FALSE,TRUE,11,5.31,655,2017,111407085,district_heating,TRUE,FALSE,495,33.6,mint_condition,sophisticated,no,TRUE,ground_floor,86153,1.5,0,1,TRUE,1,Innenstadt,19-May
160,floor_heating,FALSE,TRUE,1,4.59,940,1966,111354830,gas,FALSE,TRUE,745,75.05,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,roof_storey,86199,2,2,2,FALSE,3,Bergheim,19-May
80,central_heating,FALSE,FALSE,6,5,400,1975,65712818,district_heating,TRUE,FALSE,320,28.5,well_kept,normal,negotiable,TRUE,apartment,86152,1,3,1,FALSE,1,Innenstadt,20-Feb
110,self_contained_central_heating,FALSE,FALSE,10,3.98,1130,1480,113854231,gas,FALSE,FALSE,1020,102,mint_condition,sophisticated,no,FALSE,other,86150,4,2,4,FALSE,5,Innenstadt,19-Oct
125,central_heating,FALSE,FALSE,2,5.24,485,2018,110582227,gas,TRUE,TRUE,360,21,mint_condition,sophisticated,no,TRUE,apartment,86179,1,4,1,FALSE,1,Haunstetten,20-Feb
135,central_heating,FALSE,FALSE,4,5.43,575,1994,107363278,gas,TRUE,TRUE,440,43.57,well_kept,normal,negotiable,TRUE,other,86199,1,1,1,FALSE,2,Göggingen,18-Sep
165,floor_heating,FALSE,TRUE,9,5.43,755,1994,107336206,gas,FALSE,TRUE,590,58.5,refurbished,normal,no,FALSE,apartment,86199,2,1,2,TRUE,2,Göggingen,18-Sep
125,gas_heating,FALSE,TRUE,1,3.7,665,1898,115582502,gas,TRUE,TRUE,540,57,well_kept,normal,no,FALSE,apartment,86154,2,1,2,TRUE,2,Oberhausen,20-Feb
75,central_heating,FALSE,TRUE,16,5,474,2015,84546611,electricity,TRUE,FALSE,399,23.16,mint_condition,sophisticated,negotiable,FALSE,apartment,86179,1,1,1,TRUE,1,Haunstetten,19-May
69,central_heating,FALSE,TRUE,13,5.61,677,2000,111238301,gas,FALSE,TRUE,549,55,well_kept,sophisticated,no,TRUE,apartment,86157,2,3,2,FALSE,2,Pfersee,19-May
104,central_heating,FALSE,TRUE,2,3.98,675,1977,113865571,gas,FALSE,TRUE,519,56.38,fully_renovated,normal,negotiable,TRUE,apartment,86153,2,8,2,FALSE,2,Innenstadt,19-Oct
85,central_heating,FALSE,FALSE,4,5.31,365,1958,111295875,gas,TRUE,FALSE,280,11.5,refurbished,normal,no,FALSE,other,86152,1,1,1,FALSE,1,Innenstadt,19-May
0,self_contained_central_heating,TRUE,TRUE,8,6.1,600,2017,105364670,oil,TRUE,FALSE,600,30,mint_condition,sophisticated,no,FALSE,other,86165,2,1,2,TRUE,1,Lechhausen,18-Sep
250,heat_pump,TRUE,TRUE,32,5.6,1660,2017,105304376,geothermal,TRUE,TRUE,1410,122.5,first_time_use,sophisticated,negotiable,TRUE,apartment,86199,4,2,4,FALSE,6,Göggingen,18-Sep
280,central_heating,FALSE,TRUE,27,4.18,1470,1989,111198599,district_heating,FALSE,TRUE,1190,121,modernized,sophisticated,negotiable,TRUE,roof_storey,86159,4,4,4,FALSE,6,Universitätsviertel,20-Feb
200,central_heating,FALSE,TRUE,14,3.86,950,1990,72169431,gas,TRUE,TRUE,700,78.5,well_kept,sophisticated,no,TRUE,maisonette,86157,3,4,3,FALSE,3,Pfersee,20-Feb
60.95,central_heating,FALSE,FALSE,11,3.62,755.06,1933,115423928,gas,FALSE,TRUE,650.08,40,first_time_use,normal,negotiable,FALSE,roof_storey,86153,2,5,2,FALSE,1,Innenstadt,20-Feb
104,central_heating,FALSE,FALSE,1,4.37,591,1962,113862283,gas,FALSE,TRUE,424,49.84,fully_renovated,normal,negotiable,FALSE,apartment,86163,2,2,2,FALSE,2,Hochzoll,19-Oct
295,floor_heating,FALSE,TRUE,16,5.52,1695,2016,93773980,district_heating,TRUE,TRUE,1400,103.34,mint_condition,sophisticated,no,TRUE,apartment,86150,3,1,3,FALSE,5,Innenstadt,19-Oct
94,district_heating,TRUE,TRUE,13,4.92,936,2018,113789980,district_heating,FALSE,TRUE,777,57.37,first_time_use,sophisticated,negotiable,TRUE,apartment,86161,2,4,2,FALSE,2,Herrenbach,19-Oct
150,central_heating,FALSE,FALSE,9,4.71,480,1961,113844945,gas,FALSE,TRUE,330,31,fully_renovated,sophisticated,no,FALSE,apartment,86156,1,2,1,TRUE,1,Kriegshaber,19-Oct
130,central_heating,FALSE,TRUE,7,3.99,600,1932,115591817,gas,TRUE,TRUE,470,47,well_kept,sophisticated,no,FALSE,ground_floor,86165,2,1,2,FALSE,2,Lechhausen,20-Feb
100,central_heating,FALSE,TRUE,29,3.98,1282,1995,113275140,gas,FALSE,TRUE,957,87,mint_condition,sophisticated,negotiable,FALSE,maisonette,86152,3,2,3,FALSE,4,Innenstadt,19-Oct
310,central_heating,FALSE,TRUE,12,3.87,1510,1971,114731601,gas,FALSE,TRUE,1200,105,modernized,sophisticated,negotiable,FALSE,apartment,86199,3.5,2,3,FALSE,5,Göggingen,20-Feb
90,central_heating,FALSE,TRUE,5,3.85,715,1953,115401810,gas,FALSE,FALSE,580,53.33,well_kept,simple,no,FALSE,apartment,86179,2,0,2,FALSE,2,Haunstetten,20-Feb
150,self_contained_central_heating,FALSE,FALSE,30,5.51,780,1906,101037916,gas,TRUE,TRUE,630,50,fully_renovated,sophisticated,no,FALSE,apartment,86153,3,2,3,TRUE,2,Oberhausen,20-Feb
185,floor_heating,TRUE,TRUE,18,4.33,1145,2019,113755631,district_heating,FALSE,TRUE,960,73,first_time_use,sophisticated,no,TRUE,roof_storey,86167,3,4,3,FALSE,3,Lechhausen,19-Oct
110,central_heating,FALSE,TRUE,12,7.45,1350,1905,100337265,gas,FALSE,TRUE,1240,118,modernized,sophisticated,no,FALSE,apartment,86153,4,1,4,FALSE,5,Innenstadt,18-Sep
250,central_heating,FALSE,TRUE,20,4.16,1130,1976,113519245,gas,TRUE,TRUE,880,73,modernized,sophisticated,negotiable,TRUE,apartment,86199,2.5,5,2,TRUE,3,Göggingen,19-Oct
116,stove_heating,TRUE,TRUE,4,4.6,808,2019,111428797,combined_heat_and_power_fossil_fuels,TRUE,FALSE,642,32.89,first_time_use,sophisticated,no,FALSE,apartment,86159,1,5,1,FALSE,1,Hochfeld,19-Oct
140,central_heating,FALSE,FALSE,3,3.7,620,1962,115622482,gas,FALSE,FALSE,480,40,modernized,normal,no,TRUE,apartment,86154,2,2,2,FALSE,1,Oberhausen,20-Feb
250,self_contained_central_heating,FALSE,TRUE,24,5.95,1720,1907,89893128,gas,TRUE,TRUE,1390,103,refurbished,luxury,no,FALSE,maisonette,86199,3,3,3,FALSE,5,Göggingen,19-Oct
100,self_contained_central_heating,FALSE,TRUE,7,3.98,950,1959,112685065,gas,TRUE,TRUE,950,75,well_kept,normal,negotiable,FALSE,roof_storey,86152,3,3,3,FALSE,3,Innenstadt,19-Oct
160,central_heating,FALSE,TRUE,1,3.62,1060,1995,115416176,district_heating,TRUE,TRUE,900,60.77,well_kept,normal,negotiable,TRUE,apartment,86152,2,1,2,FALSE,2,Innenstadt,20-Feb
185,floor_heating,FALSE,TRUE,25,5.1,1465,1894,105467124,gas,TRUE,TRUE,1280,91.43,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,86152,2,2,2,FALSE,4,Innenstadt,18-Sep
110,self_contained_central_heating,FALSE,TRUE,8,3.62,910,1957,115567097,gas,TRUE,TRUE,800,61,well_kept,normal,no,FALSE,apartment,86153,2,0,2,FALSE,3,Innenstadt,20-Feb
190,floor_heating,FALSE,TRUE,28,3.98,1815,2013,113854143,district_heating,TRUE,TRUE,1625,125,mint_condition,luxury,no,TRUE,maisonette,86153,3,0,3,TRUE,6,Innenstadt,19-Oct
182,central_heating,FALSE,TRUE,0,4.37,782,1974,112796587,oil,TRUE,TRUE,600,63,first_time_use_after_refurbishment,normal,negotiable,FALSE,apartment,86163,2,1,2,FALSE,3,Hochzoll,19-Oct
220,central_heating,TRUE,TRUE,14,4.19,1480,2019,112986637,gas,FALSE,TRUE,1200,88,first_time_use,sophisticated,no,TRUE,apartment,86199,3,2,3,FALSE,4,Göggingen,19-Oct
210,central_heating,FALSE,TRUE,8,4,1285,1975,114287373,oil,TRUE,TRUE,1075,105,first_time_use_after_refurbishment,luxury,negotiable,FALSE,ground_floor,86199,3,1,3,TRUE,5,Göggingen,20-Feb
188,central_heating,FALSE,TRUE,11,3.86,868,1920,115658080,gas,FALSE,TRUE,680,68.2,modernized,sophisticated,no,FALSE,apartment,86157,2,1,2,FALSE,3,Pfersee,20-Feb
100,district_heating,FALSE,TRUE,14,5.31,470,2017,111408711,district_heating,TRUE,FALSE,370,20.3,mint_condition,sophisticated,no,TRUE,apartment,86153,1,4,1,TRUE,1,Innenstadt,19-May
110,district_heating,FALSE,TRUE,16,3.98,505,2017,113482047,district_heating,TRUE,FALSE,395,22,mint_condition,sophisticated,no,TRUE,apartment,86153,1,2,1,TRUE,1,Innenstadt,19-Oct
220,central_heating,FALSE,TRUE,19,4.16,1050,1978,113653473,oil,FALSE,TRUE,830,76.3,well_kept,normal,negotiable,FALSE,apartment,86179,3,2,3,TRUE,3,Haunstetten,19-Oct
230,floor_heating,FALSE,TRUE,9,4.59,1380,1966,110976693,gas,FALSE,TRUE,1100,110.85,first_time_use_after_refurbishment,sophisticated,negotiable,FALSE,apartment,86199,3.5,1,3,FALSE,5,Bergheim,19-May
260,central_heating,FALSE,TRUE,12,4.3,1180,1987,105984395,gas,TRUE,TRUE,920,82,fully_renovated,sophisticated,negotiable,FALSE,other,86167,3,2,3,FALSE,4,Lechhausen,19-Oct
250,district_heating,FALSE,TRUE,6,3.83,1300,1924,114884294,district_heating,TRUE,TRUE,1050,105,refurbished,normal,no,FALSE,roof_storey,86152,3.5,3,3,FALSE,5,Innenstadt,20-Feb
145,floor_heating,FALSE,TRUE,10,3.85,825,2015,115694643,gas,TRUE,TRUE,680,59,mint_condition,sophisticated,no,TRUE,ground_floor,86137,2,1,2,TRUE,2,Haunstetten,20-Feb
380,gas_heating,FALSE,TRUE,14,5.75,1930,1972,96645173,gas,TRUE,FALSE,1550,142,mint_condition,luxury,negotiable,TRUE,other,86159,2,31,2,FALSE,6,Antonsviertel,18-Sep
77,self_contained_central_heating,FALSE,TRUE,14,5.62,600,1954,91273205,gas,TRUE,FALSE,510,51.43,refurbished,normal,negotiable,FALSE,apartment,86152,2,6,2,FALSE,2,Innenstadt,19-May
165,floor_heating,FALSE,TRUE,28,5.1,1310,1894,105471200,gas,TRUE,TRUE,1145,81.82,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,86152,2,2,2,FALSE,4,Innenstadt,18-Sep
150,floor_heating,FALSE,TRUE,14,4.16,950,1920,113853170,gas,TRUE,TRUE,800,76,fully_renovated,sophisticated,no,FALSE,ground_floor,86179,2,1,2,TRUE,3,Haunstetten,19-Oct
70,stove_heating,FALSE,FALSE,8,6.74,700,1955,101962093,gas,FALSE,FALSE,630,49,well_kept,simple,no,FALSE,apartment,86163,3,2,3,FALSE,2,Hochzoll,19-May
145,central_heating,FALSE,TRUE,10,5.38,725,1957,107336718,gas,FALSE,TRUE,580,53,refurbished,normal,negotiable,FALSE,raised_ground_floor,86157,2,0,2,FALSE,2,Pfersee,18-Sep
85,self_contained_central_heating,FALSE,TRUE,14,5.31,680,1903,111258120,gas,TRUE,FALSE,595,58.75,well_kept,normal,no,FALSE,apartment,86153,2,1,2,FALSE,2,Innenstadt,19-May
200,central_heating,FALSE,FALSE,13,5.31,1195,1920,111289232,district_heating,TRUE,TRUE,995,99,modernized,normal,no,TRUE,maisonette,86159,3,4,3,TRUE,4,Innenstadt,19-May
320,central_heating,FALSE,TRUE,12,3.98,1670,1900,113636873,gas,FALSE,TRUE,1220,122,refurbished,sophisticated,negotiable,TRUE,maisonette,86152,3.5,3,3,FALSE,6,Innenstadt,19-Oct
135,central_heating,FALSE,FALSE,15,3.62,523,1969,115218966,district_heating,TRUE,TRUE,388,43.2,well_kept,normal,no,TRUE,apartment,86152,1.5,1,1,FALSE,2,Innenstadt,20-Feb
120,self_contained_central_heating,FALSE,FALSE,0,6.74,720,1920,107354453,gas,FALSE,TRUE,600,75,refurbished,normal,yes,FALSE,raised_ground_floor,86154,2,0,2,FALSE,3,Oberhausen,18-Sep
135,central_heating,FALSE,FALSE,13,4.39,720,1972,115636358,natural_gas_light,TRUE,FALSE,585,49,fully_renovated,sophisticated,no,FALSE,apartment,86156,2,1,2,FALSE,2,Kriegshaber,20-Feb
323,central_heating,FALSE,TRUE,12,5.39,1650,1975,111198205,gas,TRUE,TRUE,1327,136,well_kept,luxury,no,TRUE,apartment,86199,3.5,3,3,TRUE,6,Göggingen,19-May
110,central_heating,FALSE,TRUE,12,5.1,1210,1905,105648722,gas,FALSE,TRUE,1100,110,modernized,sophisticated,no,FALSE,apartment,86153,3,2,3,FALSE,5,Innenstadt,18-Sep
120,central_heating,FALSE,TRUE,9,5.31,648,1952,111240195,gas,FALSE,TRUE,528,48,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,86150,1,1,1,FALSE,2,Innenstadt,19-May
160,central_heating,FALSE,TRUE,11,4.16,960,1976,113502825,natural_gas_light,FALSE,TRUE,800,94,well_kept,normal,no,TRUE,apartment,86199,2,4,2,FALSE,4,Göggingen,19-Oct
117,central_heating,TRUE,TRUE,5,4.6,771,2019,111429866,combined_heat_and_power_fossil_fuels,TRUE,FALSE,615,33.22,first_time_use,sophisticated,no,TRUE,apartment,86159,1,2,1,FALSE,1,Hochfeld,19-Oct
65,central_heating,FALSE,FALSE,6,3.83,775,1905,115257581,gas,TRUE,TRUE,650,38,well_kept,normal,no,TRUE,apartment,86150,1,2,1,FALSE,1,Innenstadt,20-Feb
200,oil_heating,FALSE,TRUE,6,5.38,970,1969,107233657,oil,FALSE,TRUE,770,76.46,well_kept,normal,negotiable,FALSE,apartment,86157,3,2,3,FALSE,3,Pfersee,18-Sep
100,floor_heating,FALSE,TRUE,9,5,595,1992,108456444,gas,TRUE,TRUE,495,41.5,well_kept,sophisticated,no,FALSE,apartment,86153,1,1,1,FALSE,2,Innenstadt,19-May
250,central_heating,FALSE,TRUE,11,5.31,1310,1981,111182801,gas,FALSE,TRUE,1060,104,well_kept,sophisticated,no,TRUE,penthouse,86153,4,8,4,FALSE,5,Innenstadt,19-May
140,central_heating,FALSE,TRUE,10,5.89,839,1950,111055204,gas,FALSE,FALSE,699,72,mint_condition,normal,negotiable,FALSE,roof_storey,86165,2,4,2,FALSE,3,Lechhausen,19-May
100,central_heating,FALSE,TRUE,31,5,1307,1985,103791163,gas,FALSE,TRUE,1032,87,well_kept,sophisticated,no,FALSE,roof_storey,86150,3,2,3,FALSE,4,Innenstadt,19-May
110,floor_heating,TRUE,FALSE,2,5.35,985,2018,111342327,gas,TRUE,TRUE,825,65,first_time_use,sophisticated,negotiable,TRUE,ground_floor,86153,2,0,2,TRUE,3,Innenstadt,19-May
155,central_heating,FALSE,TRUE,10,3.62,805,1997,115547776,gas,TRUE,TRUE,650,55,mint_condition,sophisticated,negotiable,TRUE,apartment,86153,2,4,2,FALSE,2,Innenstadt,20-Feb
